Sales_Date,Delivery_Date,SKU_Code,Qty,Unit_Price,Line_Amount,From_Location,To_Location,Channel,Sub_Channel,Delivery_Type,Courier,City_Tier,Category,Order_ID,Customer_ID,Month,Year,Week,Delivery_Days,Payment_Method,Is_Returned
2025-02-01,2025-02-04,BPC-1009,1,319.0,319.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-101401,C50861,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-04,BPC-1034,1,289.0,289.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Bodycare,D2C-101401,C50861,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-04,BPC-1035,3,281.0,843.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Bodycare,D2C-101401,C50861,2025-02,2025,5,3,COD,0
2025-02-01,2025-02-05,BPC-1024,1,849.0,849.0,Navi Mumbai,Bengaluru,D2C,Website,Scheduled,Delhivery,Metro,Haircare,D2C-101402,C50862,2025-02,2025,5,4,Prepaid,0
2025-02-01,2025-02-04,BPC-1018,2,442.0,884.0,Hyderabad,Bengaluru,D2C,Website,Scheduled,XpressBees,Metro,Haircare,D2C-101403,C43080,2025-02,2025,5,3,COD,0
2025-02-01,2025-02-04,BPC-1040,1,934.0,934.0,Hyderabad,Bengaluru,D2C,Website,Scheduled,XpressBees,Metro,Makeup,D2C-101403,C43080,2025-02,2025,5,3,COD,0
2025-02-01,2025-02-04,BPC-1003,1,530.0,530.0,Hyderabad,Bengaluru,D2C,Website,Scheduled,XpressBees,Metro,Skincare,D2C-101403,C43080,2025-02,2025,5,3,COD,0
2025-02-01,2025-02-03,BPC-1028,1,400.0,400.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Bodycare,D2C-101404,C50863,2025-02,2025,5,2,Prepaid,0
2025-02-01,2025-02-03,BPC-1016,1,779.0,779.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-101404,C50863,2025-02,2025,5,2,COD,0
2025-02-01,2025-02-03,BPC-1010,1,538.0,538.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-101405,C45881,2025-02,2025,5,2,COD,0
2025-02-01,2025-02-04,BPC-1035,1,279.0,279.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Bodycare,D2C-101406,C50864,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-04,BPC-1015,2,526.0,1052.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-101406,C50864,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-07,BPC-1036,1,461.0,461.0,Hyderabad,Patna,D2C,Website,Scheduled,Blue Dart,Tier 2,Bodycare,D2C-101407,C41828,2025-02,2025,5,6,Prepaid,0
2025-02-01,2025-02-07,BPC-1029,1,448.0,448.0,Hyderabad,Patna,D2C,Website,Scheduled,Blue Dart,Tier 2,Bodycare,D2C-101407,C41828,2025-02,2025,5,6,Prepaid,0
2025-02-01,2025-02-05,BPC-1047,1,1071.0,1071.0,Hyderabad,Nagpur,D2C,Website,Scheduled,Shadowfax,Tier 2,Makeup,D2C-101408,C50864,2025-02,2025,5,4,COD,0
2025-02-01,2025-02-05,BPC-1010,2,535.0,1070.0,Hyderabad,Nagpur,D2C,Website,Scheduled,Shadowfax,Tier 2,Skincare,D2C-101408,C50864,2025-02,2025,5,4,Prepaid,0
2025-02-01,2025-02-04,BPC-1003,2,518.0,1036.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,XpressBees,Metro,Skincare,D2C-101409,C50864,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-03,BPC-1007,1,397.0,397.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-101410,C50864,2025-02,2025,5,2,Prepaid,0
2025-02-01,2025-02-03,BPC-1034,1,295.0,295.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Bodycare,D2C-101410,C50864,2025-02,2025,5,2,Prepaid,0
2025-02-01,2025-02-04,BPC-1042,1,367.0,367.0,Navi Mumbai,Mumbai,D2C,Website,Scheduled,Delhivery,Metro,Makeup,D2C-101411,C43646,2025-02,2025,5,3,Prepaid,0
2025-02-01,2025-02-04,BPC-1045,1,461.0,461.0,Navi Mumbai,Mumbai,D2C,Website,Scheduled,Delhivery,Metro,Makeup,D2C-101411,C43646,2025-02,2025,5,3,COD,0
2025-02-01,2025-02-04,BPC-1005,1,696.0,696.0,Navi Mumbai,Mumbai,D2C,Website,Scheduled,Delhivery,Metro,Skincare,D2C-101411,C43646,2025-02,2025,5,3,Prepaid,0
